race_date,track_name,race_number,distance,surface,track_condition,horse_name,jockey,trainer,post_position,final_time,finish_position,odds,weight,margin,speed_rating
2024-01-02,Golden Gate Fields,1,6.5f,Dirt,Sloppy,Dancing Spirit,I. Ortiz,B. Baffert,5,1:17.61,1,3.91,122,Won by 2.5,94
2024-01-02,Golden Gate Fields,1,6.5f,Dirt,Sloppy,Fast Storm,A. Gryder,M. Casse,2,1:17.64,2,10.53,122,1.4,94
2024-01-02,Golden Gate Fields,1,6.5f,Dirt,Sloppy,Thunder Gazer,K. Desormeaux,G. Weaver,4,1:17.47,3,7.44,123,3.0,95
2024-01-02,Golden Gate Fields,1,6.5f,Dirt,Sloppy,Dancing Streak,R. Gonzalez,P. Miller,6,1:19.80,4,6.75,119,2.9,83
2024-01-02,Golden Gate Fields,1,6.5f,Dirt,Sloppy,Swift Peak,C. Lopez,P. Eurton,1,1:18.69,5,14.18,120,7.3,89
2024-01-02,Golden Gate Fields,1,6.5f,Dirt,Sloppy,Noble Streak,J. Castellano,G. Weaver,8,1:19.09,6,9.94,123,4.6,87
2024-01-02,Golden Gate Fields,1,6.5f,Dirt,Sloppy,Proud Strike,J. Rosario,R. Mandella,7,1:17.99,7,10.62,118,8.2,92
2024-01-02,Golden Gate Fields,1,6.5f,Dirt,Sloppy,Noble Storm,M. Franco,C. Brown,3,1:19.46,8,4.49,126,3.9,85
2024-01-02,Oaklawn Park,2,1m,Turf,Good,Star King,D. Van Dyke,M. Maker,7,1:37.18,1,12.86,123,Won by 1.6,99
2024-01-02,Oaklawn Park,2,1m,Turf,Good,Quick Streak,R. Santana,M. Casse,2,1:37.04,2,11.9,117,1.0,99
2024-01-02,Oaklawn Park,2,1m,Turf,Good,Midnight Prince,J. Lezcano,A. Dutrow,4,1:37.71,3,10.77,116,2.5,96
2024-01-02,Oaklawn Park,2,1m,Turf,Good,Noble Streak,K. Desormeaux,J. Sadler,5,1:38.36,4,5.34,125,5.5,93
2024-01-02,Oaklawn Park,2,1m,Turf,Good,Fire King,A. Cedillo,H. Bond,1,1:39.33,5,9.82,118,7.3,88
2024-01-02,Oaklawn Park,2,1m,Turf,Good,Golden Streak,M. Smith,K. McPeek,8,1:39.51,6,4.91,125,1.1,87
2024-01-02,Oaklawn Park,2,1m,Turf,Good,Quick Peak,D. Davis,H. Bond,3,1:38.97,7,6.73,116,8.3,90
2024-01-02,Oaklawn Park,2,1m,Turf,Good,Strong Rush,J. Velazquez,D. O'Neill,6,1:38.62,8,13.82,122,9.7,91
2024-01-02,Keeneland,3,5.5f,Turf,Sloppy,Rapid Demon,C. Lopez,J. Sadler,4,1:03.94,1,11.55,123,Won by 0.7,105
2024-01-02,Keeneland,3,5.5f,Turf,Sloppy,Lightning Demon,T. Baze,W. Mott,6,1:04.01,2,3.98,118,0.3,104
2024-01-02,Keeneland,3,5.5f,Turf,Sloppy,Desert Blaze,J. Rosario,S. Asmussen,8,1:04.04,3,9.32,120,1.4,104
