race_date,track_name,race_number,distance,surface,track_condition,horse_name,jockey,trainer,post_position,final_time,finish_position,odds,weight,margin,speed_rating
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Ruby Jet,F. Prat,M. Casse,3,1:14.73,1,5.21,114,Won by 1.4,106
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Lunar Runner,T. Baze,W. Mott,6,1:15.92,2,4.68,125,0.9,99
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Star Flow,A. Cedillo,Trainer_07,2,1:15.08,3,16.88,128,1.8,107
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Destiny Gazer,Jockey_12,M. Casse,9,1:15.75,4,16.06,125,1.7,100
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Light Demon,J. Castellano,R. Baltas,10,1:15.67,5,20.1,115,1.6,103
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Fortune Surge,R. Santana,B. Baffert,8,1:15.69,6,7.53,119,1.8,101
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Blazing Summit,Jockey_10,B. Baffert,4,1:15.61,7,9.39,119,2.6,105
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Fire Rocket,Jockey_09,Trainer_14,5,1:15.61,8,65.27,127,2.7,101
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Lightning Power,Jockey_03,L. Jones,7,1:15.53,9,10.39,123,2.8,107
2024-01-02,Keeneland,1,6.5f,Dirt,Fast,Solar Boost,T. Baze,D. O'Neill,1,1:16.90,10,12.49,120,3.9,102
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Ocean Queen,C. Lopez,D. O'Neill,4,1:00.74,1,7.54,114,Won by 0.5,110
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Speed Fury,C. Lopez,Trainer_20,8,1:01.59,2,15.39,114,1.3,105
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Cosmic Spirit,J. Rosario,S. Asmussen,1,1:02.21,3,3.17,121,1.7,103
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Cosmic King,Jockey_05,M. Casse,2,1:02.03,4,32.51,122,1.7,106
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Swift Mountain,M. Smith,M. Casse,5,1:02.81,5,9.46,120,2.3,103
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Swift Queen,D. Davis,Trainer_05,3,1:02.42,6,21.39,125,2.5,105
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Cosmic River,E. Maldonado,B. Baffert,6,1:02.48,7,12.0,122,2.2,107
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Glowing Prince,Jockey_15,Trainer_01,7,1:02.30,8,16.9,119,3.2,103
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Blazing Ocean,Jockey_09,T. Pletcher,9,1:03.00,9,33.28,116,3.4,103
2024-01-02,Woodbine,2,5.5f,Dirt,Fast,Jumping Force,Jockey_13,M. Maker,10,1:03.16,10,15.57,118,3.6,102
2024-01-02,Del Mar,3,7.0f,Dirt,Good,Ruby Mountain,M. Garcia,P. Miller,2,1:25.14,1,29.59,124,Won by 1.5,89
2024-01-02,Del Mar,3,7.0f,Dirt,Good,Dancing Force,Jockey_07,R. Baltas,7,1:24.88,2,27.6,127,0.9,91
2024-01-02,Del Mar,3,7.0f,Dirt,Good,Valley Flash,F. Prat,Trainer_20,1,1:25.12,3,32.67,123,1.7,91
2024-01-02,Del Mar,3,7.0f,Dirt,Good,Shadow Valley,I. Ortiz,M. Casse,5,1:25.43,4,10.98,114,1.7,89
2024-01-02,Del Mar,3,7.0f,Dirt,Good,Dark Tide,J. Rosario,Trainer_17,4,1:24.82,5,15.61,120,2.3,94
2024-01-02,Del Mar,3,7.0f,Dirt,Good,Running Demon,C. Lopez,L. Jones,6,1:25.33,6,31.8,125,2.0,90
2024-01-02,Del Mar,3,7.0f,Dirt,Good,Dancing Chaser,K. Desormeaux,T. Pletcher,3,1:25.54,7,9.33,120,2.9,90
2024-01-02,Belmont Park,4,1m,Turf,Muddy,Glowing Summit,M. Smith,Trainer_10,4,1:34.13,1,7.89,126,Won by 1.1,112
2024-01-02,Belmont Park,4,1m,Turf,Muddy,Solar Champion,J. Lezcano,P. Miller,1,1:33.86,2,14.39,123,1.0,109
2024-01-02,Belmont Park,4,1m,Turf,Muddy,Shadow Summit,R. Santana,J. Sadler,6,1:34.37,3,16.45,128,1.7,112
2024-01-02,Belmont Park,4,1m,Turf,Muddy,Speed Summit,Jockey_07,Trainer_02,2,1:34.97,4,17.56,117,1.9,112
2024-01-02,Belmont Park,4,1m,Turf,Muddy,Thunder Peak,M. Garcia,J. Shirreffs,5,1:34.24,5,24.82,123,2.0,109
2024-01-02,Belmont Park,4,1m,Turf,Muddy,Brave Demon,Jockey_06,Trainer_06,3,1:35.04,6,23.1,120,2.4,106
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Magic Fury,Jockey_01,Trainer_17,8,1:16.45,1,53.78,121,Won by 1.2,103
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Golden Peak,J. Velazquez,P. Miller,7,1:17.19,2,15.33,128,1.2,100
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Stellar Champion,Jockey_02,L. Jones,3,1:16.98,3,10.51,116,1.0,100
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Bright Hill,Jockey_02,Trainer_18,9,1:16.79,4,89.13,126,2.0,102
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Storm Rocket,Jockey_14,Trainer_17,5,1:17.67,5,19.54,124,1.8,99
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Desert Stream,M. Smith,P. Miller,1,1:17.37,6,4.03,124,1.8,99
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Mystic Runner,R. Gonzalez,S. Asmussen,4,1:17.62,7,6.55,124,2.6,98
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Running Strike,A. Cedillo,M. Casse,6,1:18.30,8,14.69,122,2.7,98
2024-01-02,Oaklawn Park,5,6.5f,Turf,Sloppy,Star Arrow,D. Davis,Trainer_01,2,1:18.28,9,27.16,124,3.1,96
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Ocean Dash,F. Prat,T. Pletcher,2,1:11.66,1,2.84,128,Won by 2.6,97
2024-01-02,Keeneland,6,6.0f,Turf,Fast,Destiny Gazer,E. Maldonado,Trainer_15,4,1:12.57,2,7.96,126,0.6,92
